group,CANALES
Lounge.br,Lounge,http://pub3.radiotunes.com:80/radiotunes_smoothlounge?
ext,Musica del Mundo,http://pub8.radiotunes.com:80/radiotunes_world?c99c0d59b19e3b7c9f99d515
ext,Yoga,http://buecrplb01.cienradios.com.ar/Yoga_32000.aac
ext,Reiki,http://buecrplb01.cienradios.com.ar/Reiki_32000.aac
ext,Relajación,http://pub7.radiotunes.com:80/radiotunes_relaxation?c99c0d59b19e3b7c9f99d515
NewAge.us,New Age,http://pub7.radiotunes.com:80/radiotunes_newage?c99c0d59b19e3b7c9f99d515
ext,Clasica,http://buecrplb01.cienradios.com.ar/Clasica_32000.aac
ext,Clasica Cine,http://buecrplb01.cienradios.com.ar/Classic_Cinema_32000.aac
ext,Clasica Meditacion,http://buecrplb01.cienradios.com.ar/Clasica_Para_Meditar_32000.aac

group,Infantil
avi,THE SIMPSONS CAP1,https://youpeliculas.box.com/shared/static/h1ks4cezg5pkpfojfodk.mp4
avi,THE SIMPSONS CAP2,https://youpeliculas.box.com/shared/static/7ylnmpmdbh7dfbiofsk0.mp4
avi,THE SIMPSONS CAP3,https://youpeliculas.box.com/shared/static/gtq87oyok6qoa2hh3mpp.mp4
avi,THE SIMPSONS CAP4,https://youpeliculas.box.com/shared/static/80ic50ms5aj9har1qlthpi3s0a5alw8q.mp4
avi,THE SIMPSONS CAP5,https://youpeliculas.box.com/shared/static/9d0na57i5whdbwobesosarv3sv8ywhqi.mp4
avi,THE SIMPSONS CAP6,https://youpeliculas.box.com/shared/static/bbprqwfkzni62rbiajczsyj4rlcxsyut.mp4
avi,CAP7,https://youpeliculas.box.com/shared/static/ebvf99yghy7dzwuvbdnu.mp4
avi,CAP8,https://youpeliculas.box.com/shared/static/02unzde7d3ljr4idhfhd.mp4
avi,CAP9,https://youpeliculas.box.com/shared/static/7namk41rge9nmlxv4oct.mp4
avi,CAP10,https://youpeliculas.box.com/shared/static/few43s7xlaxg47qkwpp6.mp4
avi,CAP11,https://youpeliculas.box.com/shared/static/buelxtymuxypyfp36pk2.mp4
avi,CAP12,https://youpeliculas.box.com/shared/static/bc5z6kdbiwn8a8hsa5ik.mp4
avi,CAP13,https://youpeliculas.box.com/shared/static/7t6tpdb42em3dzpytkue.mp4
avi,CAP14,https://youpeliculas.box.com/shared/static/umtj85zdwnnivh01si12.mp4
avi,CAP15,https://youpeliculas.box.com/shared/static/atlflgjm2tja9082po5g.mp4
avi,CAP16,https://youpeliculas.box.com/shared/static/h3kq7izzyr4ff8srgvaj.mp4
avi,CAP17,https://youpeliculas.box.com/shared/static/6dvqvhu666yqt63vsqqd.mp4
avi,CAP18,https://youpeliculas.box.com/shared/static/logzkbc36p6kht1vj341.mp4
avi,CAP19,https://youpeliculas.box.com/shared/static/c6w174ywovs61i0legtf.mp4
avi,CAP20,https://youpeliculas.box.com/shared/static/en7yd3fis453t43fauhr.mp4
avi,CAP21,https://youpeliculas.box.com/shared/static/jltr9svimib5thgjdvgu.mp4
avi,CAP22,https://youpeliculas.box.com/shared/static/aqyodd6kbcmzqszn7wcoeb9jd9yezkp1.mkv
avi,CAP23,https://youpeliculas.box.com/shared/static/bu96482tom31lfiyypmxfts7bje4iiai.mkv
ext,CAP24,https://youpeliculas.box.com/shared/static/ver8dm9guu0ezt9552xqeb2fn65ia5zg.flv
ext,CAP25,https://youpeliculas.box.com/shared/static/355hor0d1zr7ejafdp0oxfcrh4g233xq.flv
ext,CAP26,https://youpeliculas.box.com/shared/static/qg0asq8u7hufta8pgr7rt1tyg0yp1mtq.flv
